timeperiod,StDev,coeff_medianeBBW,coef_mediane,metric1_name,metric2_name,weight_metric1,weight_metric2
10,1.6724776795163394,0.8334927145219533,1.3140204503560922,sharpe_ratio,total_return,1.0,0.0
15,1.2867928978860286,0.8968781857392799,1.3595096716924278,sharpe_ratio,total_return,1.0,0.0
30,2.0094799665237364,1.041870955600034,1.1148611024965531,sharpe_ratio,total_return,1.0,0.0
25,1.2092407909780627,0.9168578594140873,1.1831809216468459,sharpe_ratio,total_return,1.0,0.0
30,1.0192848241581425,0.8664411487620001,1.1153361016151917,sharpe_ratio,total_return,1.0,0.0
20,1.0056464696754732,0.9046112836842972,1.4889177072675746,sharpe_ratio,total_return,1.0,0.0
30,1.001130717237798,0.8386448971670796,1.474847492166442,sharpe_ratio,total_return,1.0,0.0
10,1.7755211170286695,1.1209871970371972,1.1658044446701576,sharpe_ratio,total_return,1.0,0.0
30,1.0142454456323096,1.1127490263283655,1.1661805028047618,sharpe_ratio,total_return,1.0,0.0
25,1.509308544745275,0.8381384376447222,1.4638856804959002,sharpe_ratio,total_return,1.0,0.0
