window,return,sharpe,max_drawdown,win_rate,calmar_ratio,sortino_ratio,n_trades
1,2.05103631531585,35.02931249273862,-1.162528938229368,0.425,,49.625538493984,80
2,1.0646379668314694,26.399377488986215,-0.6101567758058368,0.4,,38.89123290835099,60
3,-0.03895730546824779,-8.00917171655096,-0.09610392363704756,0.4,,-10.703273175115944,5
4,-0.014039863115849585,-2.0498221761446795,-0.18852955243178204,0.42857142857142855,,-2.8283557943758435,7
5,0.354677313162847,15.925760287339697,-0.5314275724336293,0.48717948717948717,,21.722374817509827,39
6,0.29919778909667005,41.81560965420486,-0.157963520546478,0.46153846153846156,,64.7877456929253,39
7,-0.39251394830258507,-13.000660678588634,-1.016993921410747,0.30357142857142855,,-17.188073340698626,56
8,-0.1294358223729432,-26.65556078820662,-0.17136221862271706,0.0,,-32.51176344713115,5
9,0.12589038833230007,7.821923610660221,-0.3920536241452388,0.4,,11.122466635937329,45
10,-0.28403568963794895,-13.571931921259953,-0.7966725867336821,0.36666666666666664,,-18.846039957911145,60
