window,return,sharpe,max_drawdown,win_rate,calmar_ratio,sortino_ratio,n_trades
1,2.9190378743000474,43.45754941434755,-0.7362079790335874,0.3695652173913043,,62.34670992838127,138
2,1.6218237744662294,23.807133199469668,-1.3644936165211785,0.3548387096774194,,34.59562572796898,217
3,-0.1862696067705656,-16.69978820884646,-0.28656975703604814,0.2916666666666667,,-23.312147172833022,24
4,-0.0729272075701556,-10.275532253297483,-0.19389449813653759,0.125,,-14.291518601109967,8
5,0.5041103865431614,26.762725060764314,-0.38790515576069273,0.4117647058823529,,42.296194531448556,34
6,0.3092883357047867,30.181846643492715,-0.20685355852543275,0.42424242424242425,,63.46514079208534,33
7,-0.4239291467982002,-9.695298625980044,-1.5449197112676005,0.36752136752136755,,-13.150562849002245,117
8,0.016483531462381507,2.46240413854665,-0.16625620701463673,0.375,,3.424478631131586,8
9,0.17034118864361517,28.45003886268967,-0.11077493923128401,0.75,,47.10971115780385,4
10,-0.5156053494322622,-25.242023666267453,-0.9587369957998471,0.3442622950819672,,-34.95068759868458,61
