window,return,sharpe,max_drawdown,win_rate,calmar_ratio,sortino_ratio,n_trades
1,0.051957338531683495,5.736169453231625,-0.21420640182774342,0.3333333333333333,,8.414079106082328,3
2,0.3876674628890578,28.290129862744415,-0.3059938032294318,0.2222222222222222,,44.17345417993045,9
3,0.04121858651393268,6.636635920975467,-0.10224280918373907,0.6,,9.184143174228062,5
4,-0.1708708867568748,-28.008962916444727,-0.18310557184784138,0.1111111111111111,,-39.89609475188485,9
5,0.2709761710228304,46.06455035946468,-0.06265361156037041,0.6666666666666666,,100.73112371522159,3
6,-0.005518570035746961,-7.847004126386301,-0.0210339053997588,0.0,,-9.200784275925551,1
7,-0.19849373182376442,-17.53406077636357,-0.22328144743740674,0.2,,-23.169760401929448,5
8,-0.21828330111928151,-36.084194493574046,-0.21828330111929306,0.42857142857142855,,-44.06068978828495,7
9,-0.10274584358363427,-17.71359626326752,-0.15753147378684274,0.14285714285714285,,-22.24163030963357,7
10,-0.03224624962453163,-21.658434968359682,-0.04613796970170947,0.0,,-23.710185130769908,2
