window,return,sharpe,max_drawdown,win_rate,calmar_ratio,sortino_ratio,n_trades
1,2.0505421267380552,41.131039616096515,-1.1458619020726313,0.4262295081967213,,58.49681236496708,61
2,1.355792343647845,25.53199833926225,-1.0782708378819783,0.36585365853658536,,37.82532710671806,123
3,-0.4179682637788755,-30.9118972276575,-0.6819304161010065,0.34285714285714286,,-36.99812439772434,35
4,1.8731349028353543,43.79622159484519,-0.4456714647865456,0.375,,61.50674565552134,96
5,0.031403810201682064,1.1645450440280856,-0.7293009065930334,0.40229885057471265,,1.6233096777502867,87
6,-0.10833633749394722,-28.493748948302116,-0.12097154138853705,0.2777777777777778,,-35.40242505629342,18
7,0.1398422018279416,5.505143031847243,-0.42910515513965297,0.3939393939393939,,7.528176552875007,33
8,-0.024894422817123996,-1.859082546539729,-0.2455657860036542,0.2857142857142857,,-2.5846614608017626,42
9,-0.2736984063842101,-15.095048196155723,-0.6823759268029805,0.3181818181818182,,-20.897156056246004,66
10,-0.23145135228913202,-8.083809914378124,-0.9853185939458164,0.3392857142857143,,-11.344612972430134,112
