timeperiod,StDev,coeff_medianeBBW,coef_mediane,metric1_name,metric2_name,weight_metric1,weight_metric2
11,1.4723090789890376,0.8185107829500722,1.186720275238376,sharpe_ratio,total_return,1.0,0.0
15,1.309323542140108,0.92650173548881,1.3247736880665604,sharpe_ratio,total_return,1.0,0.0
15,1.0789432174754345,0.8520774616125553,1.016806274429743,sharpe_ratio,total_return,1.0,0.0
10,1.0535245102543012,1.1433068426829331,1.469405500430516,sharpe_ratio,total_return,1.0,0.0
15,1.4535633609844396,0.881461526075622,1.3685996601887294,sharpe_ratio,total_return,1.0,0.0
12,1.239137129136389,1.1001308387354614,1.4201071983023752,sharpe_ratio,total_return,1.0,0.0
14,1.3748067719109642,0.9308676983767912,1.1305993055910077,sharpe_ratio,total_return,1.0,0.0
15,1.0024344061303343,1.1775760009133578,1.4044462840115322,sharpe_ratio,total_return,1.0,0.0
14,1.340369061148508,0.9119429387508493,1.2816483471920397,sharpe_ratio,total_return,1.0,0.0
15,1.3924172735258793,0.8008805733644312,1.4643957056717818,sharpe_ratio,total_return,1.0,0.0
