Open time,Open,High,Low,Close
2025-01-19 00:00:00+00:00,104556.23,104556.23,104556.22,104556.23
2025-01-19 00:00:05+00:00,104556.23,104556.23,104533.91,104533.92
2025-01-19 00:00:10+00:00,104533.92,104533.92,104504.0,104504.0
2025-01-19 00:00:15+00:00,104504.0,104515.28,104501.9,104515.28
2025-01-19 00:00:20+00:00,104515.28,104515.28,104501.71,104501.71
2025-01-19 00:00:25+00:00,104501.72,104501.88,104489.59,104501.88
2025-01-19 00:00:30+00:00,104501.88,104501.88,104501.87,104501.87
2025-01-19 00:00:35+00:00,104501.88,104501.88,104501.87,104501.88
2025-01-19 00:00:40+00:00,104501.88,104501.88,104501.87,104501.88
2025-01-19 00:00:45+00:00,104501.88,104501.88,104501.87,104501.87
2025-01-19 00:00:50+00:00,104501.88,104501.88,104501.87,104501.87
2025-01-19 00:00:55+00:00,104501.87,104502.0,104501.87,104502.0
2025-01-19 00:01:00+00:00,104502.0,104502.0,104501.99,104502.0
2025-01-19 00:01:05+00:00,104502.0,104528.14,104502.0,104528.14
2025-01-19 00:01:10+00:00,104528.14,104528.14,104528.13,104528.14
2025-01-19 00:01:15+00:00,104528.13,104528.14,104528.13,104528.14
2025-01-19 00:01:20+00:00,104528.13,104528.14,104528.13,104528.14
2025-01-19 00:01:25+00:00,104528.13,104544.93,104528.13,104544.93
2025-01-19 00:01:30+00:00,104544.92,104544.93,104539.99,104540.0
2025-01-19 00:01:35+00:00,104539.99,104540.0,104539.99,104540.0
2025-01-19 00:01:40+00:00,104540.0,104540.0,104539.99,104539.99
2025-01-19 00:01:45+00:00,104540.0,104540.0,104539.99,104540.0
2025-01-19 00:01:50+00:00,104540.0,104540.0,104539.99,104540.0
2025-01-19 00:01:55+00:00,104540.0,104540.0,104539.99,104539.99
2025-01-19 00:02:00+00:00,104539.99,104540.0,104539.99,104539.99
2025-01-19 00:02:05+00:00,104539.99,104540.0,104522.84,104522.84
2025-01-19 00:02:10+00:00,104522.84,104522.85,104516.84,104516.84
2025-01-19 00:02:15+00:00,104516.84,104516.85,104515.96,104515.97
2025-01-19 00:02:20+00:00,104515.97,104523.35,104515.96,104523.34
2025-01-19 00:02:25+00:00,104523.34,104523.35,104501.99,104501.99
2025-01-19 00:02:30+00:00,104501.99,104502.0,104480.0,104480.0
2025-01-19 00:02:35+00:00,104480.0,104480.01,104480.0,104480.01
2025-01-19 00:02:40+00:00,104480.0,104480.01,104480.0,104480.01
2025-01-19 00:02:45+00:00,104480.0,104480.01,104478.02,104478.02
2025-01-19 00:02:50+00:00,104478.02,104478.03,104478.02,104478.02
2025-01-19 00:02:55+00:00,104478.02,104478.03,104477.89,104477.89
2025-01-19 00:03:00+00:00,104477.89,104477.89,104468.0,104468.0
2025-01-19 00:03:05+00:00,104468.0,104468.01,104468.0,104468.01
2025-01-19 00:03:10+00:00,104468.01,104468.01,104465.23,104465.23
2025-01-19 00:03:15+00:00,104465.24,104465.24,104454.64,104454.64
2025-01-19 00:03:20+00:00,104454.64,104454.65,104454.64,104454.64
2025-01-19 00:03:25+00:00,104454.64,104454.65,104454.64,104454.65
2025-01-19 00:03:30+00:00,104454.65,104454.65,104454.64,104454.64
2025-01-19 00:03:35+00:00,104454.65,104454.65,104454.64,104454.65
2025-01-19 00:03:40+00:00,104454.65,104454.65,104454.64,104454.64
2025-01-19 00:03:45+00:00,104454.65,104454.65,104454.64,104454.65
2025-01-19 00:03:50+00:00,104454.65,104481.48,104400.0,104400.0
2025-01-19 00:03:55+00:00,104400.0,104400.01,104380.01,104380.02
2025-01-19 00:04:00+00:00,104380.02,104389.57,104380.01,104389.57
2025-01-19 00:04:05+00:00,104389.57,104389.57,104389.56,104389.57
2025-01-19 00:04:10+00:00,104389.57,104389.57,104377.68,104377.68
2025-01-19 00:04:15+00:00,104377.69,104387.99,104377.68,104387.99
2025-01-19 00:04:20+00:00,104387.98,104410.69,104387.98,104410.68
2025-01-19 00:04:25+00:00,104410.69,104410.69,104401.0,104401.0
2025-01-19 00:04:30+00:00,104401.01,104401.01,104401.0,104401.01
2025-01-19 00:04:35+00:00,104401.0,104401.0,104393.5,104393.5
2025-01-19 00:04:40+00:00,104393.51,104393.51,104393.5,104393.51
2025-01-19 00:04:45+00:00,104393.51,104393.51,104393.5,104393.51
2025-01-19 00:04:50+00:00,104393.51,104401.01,104393.51,104401.01
2025-01-19 00:04:55+00:00,104401.01,104401.01,104401.0,104401.01
2025-01-19 00:05:00+00:00,104401.01,104412.0,104401.0,104412.0
2025-01-19 00:05:05+00:00,104412.0,104412.0,104411.37,104411.38
2025-01-19 00:05:10+00:00,104411.37,104411.38,104411.37,104411.38
2025-01-19 00:05:15+00:00,104411.38,104417.46,104411.38,104417.45
2025-01-19 00:05:20+00:00,104417.45,104417.46,104417.45,104417.46
2025-01-19 00:05:25+00:00,104417.46,104437.0,104417.45,104437.0
2025-01-19 00:05:30+00:00,104437.0,104437.0,104436.99,104437.0
2025-01-19 00:05:35+00:00,104437.0,104445.17,104436.99,104445.17
2025-01-19 00:05:40+00:00,104445.17,104445.17,104445.16,104445.16
2025-01-19 00:05:45+00:00,104445.17,104445.17,104445.16,104445.16
2025-01-19 00:05:50+00:00,104445.17,104445.17,104445.16,104445.16
2025-01-19 00:05:55+00:00,104445.17,104445.17,104445.16,104445.17
2025-01-19 00:06:00+00:00,104445.17,104445.17,104445.16,104445.17
2025-01-19 00:06:05+00:00,104445.17,104445.17,104445.16,104445.17
2025-01-19 00:06:10+00:00,104445.17,104450.0,104445.16,104450.0
2025-01-19 00:06:15+00:00,104450.0,104470.32,104450.0,104470.32
2025-01-19 00:06:20+00:00,104470.32,104486.2,104470.31,104486.2
2025-01-19 00:06:25+00:00,104486.19,104498.04,104486.19,104498.04
2025-01-19 00:06:30+00:00,104498.04,104498.04,104498.03,104498.03
2025-01-19 00:06:35+00:00,104498.03,104498.04,104483.59,104483.59
2025-01-19 00:06:40+00:00,104483.58,104483.58,104464.05,104464.05
2025-01-19 00:06:45+00:00,104464.02,104464.03,104452.0,104452.0
2025-01-19 00:06:50+00:00,104452.01,104452.01,104442.07,104442.08
2025-01-19 00:06:55+00:00,104442.08,104442.08,104442.07,104442.07
2025-01-19 00:07:00+00:00,104442.08,104442.08,104440.01,104440.01
2025-01-19 00:07:05+00:00,104440.0,104440.01,104437.0,104437.0
